date,position,track_name,artists_name,album_name,album_release_date,track_link,artists_link,album_link,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,album_id
2007-08-20,1,Dinamayan,6cyclemind,Home,2007-01-15,https://open.spotify.com/track/2H37IjYijloSffZ3oewsT5,https://open.spotify.com/artist/3nZa8vRD64ueq3d0JNYTsl,https://open.spotify.com/album/1Im5BTDBghgM0NG75SaiC3,255000,28,False,0.574,0.285,10,-11.493,1,0.0364,0.709,0,0.469,0.26,120.19,4,2H37IjYijloSffZ3oewsT5,1Im5BTDBghgM0NG75SaiC3
2007-08-20,2,Movie,Sponge Cola,Transit Deluxe,2008-01-23,https://open.spotify.com/track/3qlCpEVVP82GnjNIMF2AJT,https://open.spotify.com/artist/1tXFYQZSAswt4JLB42lpye,https://open.spotify.com/album/6UY5OAnMMgpjtYvuaUYsXf,274906,19,False,0.409,0.747,3,-4.333,1,0.0397,0.00714,0,0.26,0.398,160.344,4,3qlCpEVVP82GnjNIMF2AJT,6UY5OAnMMgpjtYvuaUYsXf
2007-08-20,3,Wag Ka Nang Umiyak,Sugarfree,Tala-Arawan,2006,https://open.spotify.com/track/1nnQ8IY2u4fDK3dVe69p5v,https://open.spotify.com/artist/5I3uAFbAOhuVSKdrcG5mgy,https://open.spotify.com/album/0YjjukpYR3b7nTwGVMwpTj,334400,35,False,0.513,0.42,1,-8.025,1,0.0263,0.039,0,0.125,0.326,142.421,4,1nnQ8IY2u4fDK3dVe69p5v,0YjjukpYR3b7nTwGVMwpTj
2007-08-20,4,I'll Be Alright,Sarah Geronimo,"Sarah Geronimo Greatest Hits, Vol. 2",2011,https://open.spotify.com/track/2VQsj8DTvkbEMzuFeG6Tp6,https://open.spotify.com/artist/6aiCKnIN68hohzU3ZzNq48,https://open.spotify.com/album/7tOGss2F8gNDiGGLmZ4j64,195613,28,False,0.368,0.426,5,-7.326,1,0.0343,0.733,2.2e-06,0.173,0.104,169.96,4,2VQsj8DTvkbEMzuFeG6Tp6,7tOGss2F8gNDiGGLmZ4j64
2007-08-20,5,Probinsyana,Bamboo,We Stand Alone Together,2007,https://open.spotify.com/track/0vVUON64pu2VnnTl6tQw6Z,https://open.spotify.com/artist/0c7d9V8rjfT6tzojfBfRf5,https://open.spotify.com/album/5rxPniKmlZ4tInodEqAZCp,205453,34,False,0.641,0.947,7,-4.934,1,0.0602,0.0161,0.000157,0.439,0.593,112.409,4,0vVUON64pu2VnnTl6tQw6Z,5rxPniKmlZ4tInodEqAZCp
2007-08-20,6,The Ballad Of,Hale,Twilight,2006,https://open.spotify.com/track/1wgWjgF74fcU3felXyRsoe,https://open.spotify.com/artist/6Ww3OMFzCaO33ulKh1LBFN,https://open.spotify.com/album/6Vz0p4d6haOtbwwYADd7zV,309773,24,False,0.526,0.422,0,-6.24,1,0.026,0.602,2.14e-05,0.111,0.181,132.433,4,1wgWjgF74fcU3felXyRsoe,6Vz0p4d6haOtbwwYADd7zV
2007-08-20,7,Crazy Love,Kim Chiu,Gwa Ai Di,2007-06-01,https://open.spotify.com/track/4v7GmptDfP4fhRRMGngrYf,https://open.spotify.com/artist/5rmy4yOHBOptMctO6t5Drl,https://open.spotify.com/album/18mqbo1e5m1WQ7LDUuvaSD,242886,41,False,0.719,0.309,9,-12.606,1,0.0291,0.479,1.05e-05,0.105,0.31,91.997,4,4v7GmptDfP4fhRRMGngrYf,18mqbo1e5m1WQ7LDUuvaSD
2007-08-20,8,Teenagers,My Chemical Romance,The Black Parade,2006-10-23,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0,https://open.spotify.com/artist/7FBcuc1gsnv6Y1nwFtNRCb,https://open.spotify.com/album/0FZK97MXMm5mUQ8mtudjuK,161920,78,False,0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4,7j31rVgGX9Q2blT92VBEA0,0FZK97MXMm5mUQ8mtudjuK
2007-08-20,9,Love Is All I Need,Yasmien Kurdi,Love Is All I Need,2007-04-01,https://open.spotify.com/track/1ldeniFN5ZY8YR9ekdCOnZ,https://open.spotify.com/artist/2pVzhvYyWmi5VCeuG7fmYT,https://open.spotify.com/album/6LDmxpTWKTCX4St0nas2C9,220373,2,False,0.553,0.414,9,-9.107,1,0.0272,0.313,1.62e-06,0.0937,0.295,151.932,1,1ldeniFN5ZY8YR9ekdCOnZ,6LDmxpTWKTCX4St0nas2C9
2007-08-20,10,Pasan,Callalily,Destination XYZ,2006-07-17,https://open.spotify.com/track/5cUgTGnxSy4bXDQdrmBSl3,https://open.spotify.com/artist/4HOEnLufwAqJ2qoJPVnL01,https://open.spotify.com/album/3tIU2WCVDgPwnG4MraWwQ6,223226,37,False,0.376,0.923,4,-6.338,0,0.0419,0.0819,3.31e-05,0.327,0.532,149.907,4,5cUgTGnxSy4bXDQdrmBSl3,3tIU2WCVDgPwnG4MraWwQ6
